Unnamed: 0,D,t,m,P,A,Av,I,i,Wel,Wpl,IT,WT
,[mm],[mm],[kg/m],[m],[mm2],[mm2],[mm4],[mm],[mm3],[mm3],[mm4],[mm3]
CHS21.3x2.3,21.3,2.3,1.08,67.0,137.0,87.0,6286.0,6.8,590.1999999999999,834.4,12570.0,1180.0
CHS21.3x2.6,21.3,2.6,1.2,67.0,153.0,97.0,6806.0,6.7,639.0,915.1,13610.0,1278.0
CHS21.3x3.2,21.3,3.2,1.43,67.0,182.0,116.0,7684.0,6.5,721.5,1059.0,15370.0,1443.0
CHS26.9x2.3,26.9,2.3,1.4,85.0,178.0,113.0,13560.0,8.7,1008.0,1396.0,27130.0,2017.0
CHS26.9x2.6,26.9,2.6,1.56,85.0,198.0,126.0,14820.0,8.6,1102.0,1541.0,29640.0,2203.0
CHS26.9x3.2,26.9,3.2,1.87,85.0,238.0,152.0,17030.0,8.5,1266.0,1808.0,34070.0,2533.0
CHS33.7x2.6,33.7,2.6,1.99,106.0,254.0,162.0,30930.0,11.0,1835.0,2521.0,61850.0,3671.0
CHS33.7x3.2,33.7,3.2,2.41,106.0,307.0,195.0,36050.0,10.8,2139.0,2988.0,72090.0,4279.0
CHS33.7x4,33.7,4.0,2.93,106.0,373.0,238.0,41900.0,10.6,2487.0,3550.0,83800.0,4973.0
CHS42.4x2.6,42.4,2.6,2.55,133.0,325.0,207.0,64640.0,14.1,3049.0,4124.0,129300.00000000001,6099.0
CHS42.4x3.2,42.4,3.2,3.09,133.0,394.0,251.0,76200.0,13.9,3594.0,4928.0,152400.0,7189.0
CHS42.4x4,42.4,4.0,3.79,133.0,483.0,307.0,89910.0,13.6,4241.0,5920.0,179800.0,8482.0
CHS48.3x2.6,48.3,2.6,2.93,152.0,373.0,238.0,97770.0,16.2,4048.0,5436.0,195500.0,8096.999999999999
CHS48.3x3.2,48.3,3.2,3.56,152.0,453.0,289.0,115900.0,16.0,4797.0,6520.0,231700.0,9595.0
CHS48.3x4,48.3,4.0,4.37,152.0,557.0,354.0,137700.0,15.7,5701.0,7871.0,275400.0,11400.0
CHS48.3x5,48.3,5.0,5.34,152.0,680.0,433.0,161500.0,15.4,6689.0,9416.0,323100.0,13380.0
CHS60.3x2.6,60.3,2.6,3.7,189.0,471.0,300.0,196500.0,20.4,6519.0,8662.0,393100.0,13040.0
CHS60.3x3.2,60.3,3.2,4.51,189.0,574.0,365.0,234700.0,20.2,7784.0,10440.0,469400.0,15570.0
CHS60.3x4,60.3,4.0,5.55,189.0,707.0,450.0,281700.0,20.0,9344.0,12700.0,563500.0,18690.0
CHS60.3x5,60.3,5.0,6.82,189.0,869.0,553.0,334800.0,19.6,11100.0,15330.0,669500.0,22210.0
CHS76.1x2.6,76.1,2.6,4.71,239.0,600.0,382.0,405900.0,26.0,10670.0,14050.0,811800.0,21340.0
CHS76.1x3.2,76.1,3.2,5.75,239.0,733.0,467.0,487800.0,25.8,12820.0,17020.0,975600.0,25640.0
CHS76.1x4,76.1,4.0,7.11,239.0,906.0,577.0,590600.0,25.5,15520.0,20810.0,1181000.0,31040.0
CHS76.1x5,76.1,5.0,8.77,239.0,1117.0,711.0,709200.0,25.2,18640.0,25320.0,1418000.0,37280.0
CHS88.9x3.2,88.9,3.2,6.76,279.0,862.0,548.0,792100.0,30.3,17820.0,23510.0,1584000.0,35640.0
CHS88.9x4,88.9,4.0,8.38,279.0,1067.0,679.0,963400.0,30.0,21670.0,28850.0,1927000.0,43350.0
CHS88.9x5,88.9,5.0,10.3,279.0,1318.0,839.0,1164000.0,29.7,26180.0,35240.0,2327000.0,52360.0
CHS88.9x6.3,88.9,6.3,12.8,279.0,1635.0,1041.0,1402000.0,29.3,31550.0,43070.0,2805000.0,63100.0
CHS101.6x3.2,101.6,3.2,7.77,319.0,989.0,630.0,1199000.0,34.8,23590.0,31000.0,2397000.0,47190.0
CHS101.6x4,101.6,4.0,9.63,319.0,1226.0,781.0,1463000.0,34.5,28800.0,38120.0,2926000.0,57590.0
CHS101.6x5,101.6,5.0,11.9,319.0,1517.0,966.0,1775000.0,34.2,34930.0,46700.0,3549000.0,69870.0
CHS101.6x6.3,101.6,6.3,14.8,319.0,1886.0,1201.0,2151000.0,33.8,42340.0,57300.0,4301000.0,84670.0
CHS101.6x8,101.6,8.0,18.5,319.0,2352.0,1498.0,2595000.0,33.2,51080.0,70260.0,5190000.0,102200.0
CHS101.6x10,101.6,10.0,22.6,319.0,2878.0,1832.0,3054000.0,32.6,60120.0,84240.0,6108000.0,120200.0
CHS114.3x3.2,114.3,3.2,8.77,359.0,1117.0,711.0,1725000.0,39.3,30180.0,39510.0,3449000.0,60360.0
CHS114.3x4,114.3,4.0,10.9,359.0,1386.0,882.0,2111000.0,39.0,36930.0,48690.0,4221000.0,73860.0
CHS114.3x5,114.3,5.0,13.5,359.0,1717.0,1093.0,2569000.0,38.7,44960.0,59770.0,5138000.0,89910.0
CHS114.3x6.3,114.3,6.3,16.8,359.0,2138.0,1361.0,3127000.0,38.2,54720.0,73570.0,6254000.0,109400.0
CHS114.3x8,114.3,8.0,21.0,359.0,2672.0,1701.0,3795000.0,37.7,66400.0,90570.0,7590000.0,132800.0
CHS114.3x10,114.3,10.0,25.7,359.0,3277.0,2086.0,4497000.0,37.0,78680.0,109100.0,8993000.0,157400.0
CHS139.7x4,139.7,4.0,13.4,439.0,1705.0,1086.0,3929000.0,48.0,56240.0,73680.0,7857000.0,112500.0
CHS139.7x5,139.7,5.0,16.6,439.0,2116.0,1347.0,4805000.0,47.7,68800.0,90760.0,9611000.0,137600.0
CHS139.7x6.3,139.7,6.3,20.7,439.0,2640.0,1681.0,5886000.0,47.2,84270.0,112200.0,11770000.0,168500.0
CHS139.7x8,139.7,8.0,26.0,439.0,3310.0,2107.0,7203000.0,46.6,103100.0,138900.0,14410000.0,206200.0
CHS139.7x10,139.7,10.0,32.0,439.0,4075.0,2594.0,8619000.0,46.0,123400.0,168600.0,17240000.0,246800.0
CHS139.7x12.5,139.7,12.5,39.2,439.0,4995.0,3180.0,10200000.0,45.2,146000.0,202900.0,20400000.0,292100.0
CHS168.3x4,168.3,4.0,16.2,529.0,2065.0,1314.0,6971000.0,58.1,82840.0,108000.0,13940000.0,165700.0
CHS168.3x5,168.3,5.0,20.1,529.0,2565.0,1633.0,8558000.0,57.8,101700.0,133400.0,17120000.0,203400.0
CHS168.3x6.3,168.3,6.3,25.2,529.0,3206.0,2041.0,10530000.0,57.3,125200.0,165400.0,21070000.0,250400.0
CHS168.3x8,168.3,8.0,31.6,529.0,4029.0,2565.0,12970000.0,56.7,154200.0,205700.0,25950000.0,308300.0
CHS168.3x10,168.3,10.0,39.0,529.0,4973.0,3166.0,15640000.0,56.1,185900.0,250900.0,31280000.0,371700.0
CHS168.3x12.5,168.3,12.5,48.0,529.0,6118.0,3895.0,18680000.0,55.3,222000.0,304100.0,37370000.0,444100.0
CHS177.8x5,177.8,5.0,21.3,559.0,2714.0,1728.0,10140000.0,61.1,114100.0,149300.0,20280000.0,228100.0
CHS177.8x6.3,177.8,6.3,26.6,559.0,3394.0,2161.0,12500000.0,60.7,140600.0,185400.0,24990000.0,281100.0
CHS177.8x8,177.8,8.0,33.5,559.0,4268.0,2717.0,15410000.0,60.1,173400.0,230800.0,30830000.0,346800.0
CHS177.8x10,177.8,10.0,41.4,559.0,5272.0,3356.0,18620000.0,59.4,209400.0,281900.0,37240000.0,418900.0
CHS177.8x12.5,177.8,12.5,51.0,559.0,6491.0,4132.0,22300000.0,58.6,250800.0,342200.0,44600000.0,501600.0
CHS193.7x5,193.7,5.0,23.3,609.0,2964.0,1887.0,13200000.0,66.7,136300.0,178100.0,26400000.0,272600.0
CHS193.7x6.3,193.7,6.3,29.1,609.0,3709.0,2361.0,16300000.0,66.3,168300.0,221300.0,32600000.0,336600.0
CHS193.7x8,193.7,8.0,36.6,609.0,4667.0,2971.0,20160000.0,65.7,208100.0,276000.0,40310000.0,416200.0
CHS193.7x10,193.7,10.0,45.3,609.0,5771.0,3674.0,24420000.0,65.0,252100.0,337800.0,48830000.0,504200.0
CHS193.7x12.5,193.7,12.5,55.9,609.0,7116.0,4530.0,29340000.0,64.2,303000.0,411100.0,58690000.0,605900.0
CHS193.7x14.2,193.7,14.2,62.9,609.0,8008.0,5098.0,32450000.000000004,63.7,335100.0,458500.0,64910000.0,670200.0
CHS193.7x16,193.7,16.0,70.1,609.0,8932.0,5686.0,35540000.0,63.1,367000.0,506600.0,71090000.0,734000.0
CHS219.1x5,219.1,5.0,26.4,688.0,3363.0,2141.0,19280000.0,75.7,176000.0,229200.0,38560000.0,352000.0
CHS219.1x6.3,219.1,6.3,33.1,688.0,4212.0,2681.0,23860000.0,75.3,217800.0,285400.0,47720000.0,435600.0
CHS219.1x8,219.1,8.0,41.6,688.0,5306.0,3378.0,29600000.0,74.7,270200.0,356700.0,59190000.0,540300.0
CHS219.1x10,219.1,10.0,51.6,688.0,6569.0,4182.0,35980000.0,74.0,328500.0,437600.0,71970000.0,656900.0
CHS219.1x12.5,219.1,12.5,63.7,688.0,8113.0,5165.0,43450000.0,73.2,396600.0,534200.0,86890000.0,793200.0
CHS219.1x14.2,219.1,14.2,71.8,688.0,9141.0,5819.0,48200000.0,72.6,440000.0,597100.0,96400000.0,880000.0
CHS219.1x16,219.1,16.0,80.1,688.0,10209.0,6499.0,52970000.0,72.0,483500.0,661400.0,105900000.0,967000.0
CHS219.1x20,219.1,20.0,98.2,688.0,12510.0,7964.0,62610000.0,70.7,571500.0,795500.0,125200000.0,1143000.0
CHS244.5x5,244.5,5.0,29.5,768.0,3762.0,2395.0,26990000.0,84.7,220700.0,286800.0,53970000.0,441500.0
CHS244.5x6.3,244.5,6.3,37.0,768.0,4714.0,3001.0,33460000.0,84.2,273700.0,357500.0,66920000.0,547400.0
CHS244.5x8,244.5,8.0,46.7,768.0,5944.0,3784.0,41600000.0,83.7,340300.0,447600.0,83210000.0,680600.0
CHS244.5x10,244.5,10.0,57.8,768.0,7367.0,4690.0,50730000.0,83.0,415000.0,550200.0,101500000.0,830000.0
CHS244.5x12.5,244.5,12.5,71.5,768.0,9111.0,5800.0,61470000.0,82.1,502900.0,673500.0,122900000.0,1006000.0
CHS244.5x14.2,244.5,14.2,80.6,768.0,10274.0,6541.0,68370000.0,81.6,559300.0,754100.0,136700000.0,1119000.0
CHS244.5x16,244.5,16.0,90.2,768.0,11486.0,7312.0,75330000.0,81.0,616200.0,836800.0,150700000.0,1232000.0
CHS244.5x20,244.5,20.0,110.7,768.0,14106.0,8980.0,89570000.0,79.7,732700.0,1011000.0,179100000.0,1465000.0
CHS244.5x25,244.5,25.0,135.3,768.0,17239.0,10975.0,105200000.0,78.1,860300.0,1210000.0,210300000.0,1721000.0
CHS273x5,273.0,5.0,33.0,858.0,4210.0,2680.0,37810000.0,94.8,277000.0,359200.0,75620000.0,554000.0
CHS273x6.3,273.0,6.3,41.4,858.0,5279.0,3360.0,46960000.0,94.3,344000.0,448200.0,93920000.0,688000.0
CHS273x8,273.0,8.0,52.3,858.0,6660.0,4240.0,58520000.0,93.7,428700.0,562000.0,117000000.0,857400.0
CHS273x10,273.0,10.0,64.9,858.0,8262.0,5260.0,71540000.0,93.1,524100.0,692000.0,143100000.0,1048000.0
CHS273x12.5,273.0,12.5,80.3,858.0,10230.0,6512.0,86970000.0,92.2,637200.0,848900.0,173900000.0,1274000.0
CHS273x14.2,273.0,14.2,90.6,858.0,11545.0,7350.0,96950000.0,91.6,710300.0,952000.0,193900000.0,1421000.0
CHS273x16,273.0,16.0,101.4,858.0,12918.0,8224.0,107100000.0,91.0,784400.0,1058000.0,214100000.0,1569000.0
CHS273x20,273.0,20.0,124.8,858.0,15896.0,10120.0,128000000.0,89.7,937600.0,1283000.0,256000000.0,1875000.0
CHS273x25,273.0,25.0,152.9,858.0,19478.0,12400.0,151300000.0,88.1,1108000.0,1543000.0,302500000.0,2216000.0
CHS323.9x5,323.9,5.0,39.3,1018.0,5009.0,3189.0,63690000.0,112.8,393300.0,508500.0,127400000.0,786600.0
CHS323.9x6.3,323.9,6.3,49.3,1018.0,6286.0,4002.0,79290000.0,112.3,489600.0,635600.0,158600000.0,979200.0
CHS323.9x8,323.9,8.0,62.3,1018.0,7939.0,5054.0,99100000.0,111.7,611900.0,798500.0,198200000.0,1224000.0
CHS323.9x10,323.9,10.0,77.4,1018.0,9861.0,6278.0,121600000.0,111.0,750700.0,985700.0,243200000.0,1501000.0
CHS323.9x12.5,323.9,12.5,96.0,1018.0,12229.0,7785.0,148500000.0,110.2,916700.0,1213000.0,296900000.0,1833000.0
CHS323.9x14.2,323.9,14.2,108.5,1018.0,13816.0,8795.0,166000000.0,109.6,1025000.0,1363000.0,332000000.0,2050000.0
CHS323.9x16,323.9,16.0,121.5,1018.0,15477.0,9853.0,183900000.0,109.0,1136000.0,1518000.0,367800000.0,2271000.0
CHS323.9x20,323.9,20.0,149.9,1018.0,19095.0,12156.0,221400000.0,107.7,1367000.0,1850000.0,442800000.0,2734000.0
CHS323.9x25,323.9,25.0,184.3,1018.0,23476.0,14945.0,264000000.0,106.0,1630000.0,2239000.0,528000000.0,3260000.0
CHS355.6x6.3,355.6,6.3,54.3,1117.0,6913.0,4401.0,105500000.0,123.5,593200.0,768700.0,210900000.0,1186000.0
CHS355.6x8,355.6,8.0,68.6,1117.0,8736.0,5562.0,132000000.0,122.9,742500.0,966800.0,264000000.0,1485000.0
CHS355.6x10,355.6,10.0,85.2,1117.0,10857.0,6912.0,162200000.0,122.2,912500.0,1195000.0,324500000.0,1825000.0
CHS355.6x12.5,355.6,12.5,105.8,1117.0,13474.0,8578.0,198500000.0,121.4,1117000.0,1472000.0,397000000.0,2233000.0
CHS355.6x14.2,355.6,14.2,119.6,1117.0,15230.0,9696.0,222300000.0,120.8,1250000.0,1656000.0,444500000.0,2500000.0
CHS355.6x16,355.6,16.0,134.0,1117.0,17070.0,10867.0,246600000.0,120.2,1387000.0,1847000.0,493300000.0,2774000.0
CHS355.6x20,355.6,20.0,165.5,1117.0,21086.0,13424.0,297900000.0,118.9,1676000.0,2255000.0,595800000.0,3351000.0
CHS355.6x25,355.6,25.0,203.8,1117.0,25965.0,16530.0,356800000.0,117.2,2007000.0,2738000.0,713500000.0,4013000.0
CHS406.4x6.3,406.4,6.3,62.2,1277.0,7919.0,5041.0,158500000.0,141.5,780000.0,1009000.0,317000000.0,1560000.0
CHS406.4x8,406.4,8.0,78.6,1277.0,10013.0,6374.0,198700000.0,140.9,978000.0,1270000.0,397500000.0,1956000.0
CHS406.4x10,406.4,10.0,97.8,1277.0,12453.0,7928.0,244800000.0,140.2,1205000.0,1572000.0,489500000.0,2409000.0
CHS406.4x12.5,406.4,12.5,121.4,1277.0,15468.0,9848.0,300300000.0,139.3,1478000.0,1940000.0,600600000.0,2956000.0
CHS406.4x14.2,406.4,14.2,137.3,1277.0,17496.0,11138.0,336900000.0,138.8,1658000.0,2185000.0,673700000.0,3315000.0
CHS406.4x16,406.4,16.0,154.0,1277.0,19624.0,12493.0,374500000.0,138.1,1843000.0,2440000.0,749000000.0,3686000.0
CHS406.4x20,406.4,20.0,190.6,1277.0,24278.0,15456.0,454300000.0,136.8,2236000.0,2989000.0,908600000.0,4472000.0
