,h,b,t,A,m,r_1,r_2,c_y,c_z,I_y,I_z,I_u,I_v,i_y,i_z,i_u,i_v,W_ely,W_elz,I_T,tan_alpha
,mm,mm,mm,mm2,kg/m,mm,mm,mm,mm,mm4,mm4,mm4,mm4,mm,mm,mm,mm,mm3,mm3,mm4,
L20x3,20,20,3,112,0.88,3.5,1.75,5.98,5.98,3920,3920,6180,1650,5.9,5.9,7.42,3.83,279,279,380,1
L25x3,25,25,3,142,1.12,3.5,1.75,7.23,7.23,8030,8030,12700,3340,7.51,7.51,9.45,4.84,452,452,470,1
L25x4,25,25,4,185,1.45,3.5,1.75,7.62,7.62,10200,10200,16100,4300,7.41,7.41,9.31,4.82,586,586,1070,1
L30x3,30,30,3,174,1.36,5,2.5,8.35,8.35,14000,14000,22200,5850,8.99,8.99,11.3,5.81,649,649,610,1
L30x4,30,30,4,227,1.78,5,2.5,8.78,8.78,18000,18000,28500,7540,8.92,8.92,11.2,5.77,850,850,1370,1
L35x4,35,35,4,267,2.09,5,2.5,10,10,29500,29500,46800,12300,10.5,10.5,13.2,6.78,1180,1180,1580,1
L40x4,40,40,4,308,2.42,6,3,11.2,11.2,44700,44700,70900,18600,12.1,12.1,15.2,7.77,1550,1550,1880,1
L40x5,40,40,5,379,2.97,6,3,11.6,11.6,54300,54300,86000,22600,12,12,15.1,7.73,1910,1910,3520,1
L45x4.5,45,45,4.5,390,3.06,7,3.5,12.5,12.5,71400,71400,114000,29400,13.5,13.5,17.1,8.7,2200,2200,3040,1
L50x4,50,50,4,389,3.06,7,3.5,13.6,13.6,89700,89700,142000,37300,15.2,15.2,19.1,9.79,2460,2460,2400,1
L50x5,50,50,5,480,3.77,7,3.5,14,14,110000,110000,174000,45500,15.1,15.1,19,9.73,3050,3050,4500,1
L50x6,50,50,6,569,4.47,7,3.5,14.5,14.5,128000,128000,203000,53400,15,15,18.9,9.68,3610,3610,7550,1
L60x5,60,60,5,582,4.57,8,4,16.4,16.4,194000,194000,307000,80300,18.2,18.2,23,11.7,4450,4450,5500,1
L60x6,60,60,6,691,5.42,8,4,16.9,16.9,228000,228000,361000,94400,18.2,18.2,22.9,11.7,5290,5290,9220,1
L60x8,60,60,8,903,7.09,8,4,17.7,17.7,292000,292000,461000,122000,18,18,22.6,11.6,6890,6890,20900,1
L65x7,65,65,7,873,6.83,9,4.5,18.5,18.5,334000,334000,530000,138000,19.6,19.6,24.7,12.6,7180,7180,15800,1
L70x6,70,70,6,813,6.38,9,4.5,19.3,19.3,369000,369000,585000,153000,21.3,21.3,26.8,13.7,7270,7270,10900,1
L70x7,70,70,7,940,7.38,9,4.5,19.7,19.7,423000,423000,671000,175000,21.2,21.2,26.7,13.6,8410,8410,16900,1
L75x6,75,75,6,873,6.85,9,4.5,20.5,20.5,458000,458000,727000,189000,22.9,22.9,28.9,14.7,8410,8410,11700,1
L75x8,75,75,8,1140,8.99,9,4.5,21.4,21.4,591000,591000,938000,245000,22.7,22.7,28.6,14.6,11000,11000,26500,1
L80x8,80,80,8,1230,9.63,10,5,22.6,22.6,722000,722000,1150000,299000,24.3,24.3,30.6,15.6,12600,12600,28800,1
L80x10,80,80,10,1510,11.9,10,5,23.4,23.4,875000,875000,1390000,364000,24.1,24.1,30.3,15.5,15400,15400,54500,1
L90x7,90,90,7,1220,9.61,11,5.5,24.5,24.5,926000,926000,1470000,383000,27.5,27.5,34.6,17.7,14100,14100,22400,1
L90x8,90,90,8,1390,10.9,11,5.5,25,25,1040000,1040000,1660000,431000,27.4,27.4,34.5,17.6,16100,16100,32800,1
L90x10,90,90,10,1710,13.4,11,5.5,25.8,25.8,1270000,1270000,2010000,526000,27.2,27.2,34.2,17.5,19800,19800,62000,1
L90x12,90,90,12,2030,15.9,11,5.5,26.6,26.6,1490000,1490000,2350000,620000,27.1,27.1,34,17.5,23500,23500,105000,1
L100x8,100,100,8,1550,12.2,12,6,27.4,27.4,1450000,1450000,2300000,599000,30.6,30.6,38.5,19.6,19900,19900,36800,1
L100x10,100,100,10,1920,15,12,6,28.2,28.2,1770000,1770000,2800000,730000,30.4,30.4,38.3,19.5,24600,24600,69700,1
L100x12,100,100,12,2270,17.8,12,6,29,29,2070000,2070000,3280000,857000,30.2,30.2,38,19.4,29100,29100,118000,1
L100x15,100,100,15,2800,21.9,12,6,30.2,30.2,2500000,2500000,3950000,1050000,29.9,29.9,37.6,19.4,35800,35800,223000,1
L120x8,120,120,8,1880,14.7,13,6.5,32.4,32.4,2590000,2590000,4110000,1070000,37.1,37.1,46.7,23.8,29500,29500,44400,1
L120x10,120,120,10,2320,18.2,13,6.5,33.1,33.1,3130000,3130000,4970000,1290000,36.7,36.7,46.3,23.6,36000,36000,84100,1
L120x12,120,120,12,2750,21.6,13,6.5,34,34,3680000,3680000,5840000,1520000,36.5,36.5,46,23.5,42700,42700,142000,1
L120x15,120,120,15,3400,26.6,13,6.5,35.2,35.2,4480000,4480000,7100000,1860000,36.3,36.3,45.7,23.4,52800,52800,270000,1
L150x10,150,150,10,2930,23,16,8,40.3,40.3,6240000,6240000,9900000,2580000,46.2,46.2,58.2,29.7,56900,56900,108000,1
L150x12,150,150,12,3480,27.3,16,8,41.2,41.2,7370000,7370000,11700000,3030000,46,46,58,29.5,67700,67700,182000,1
L150x15,150,150,15,4300,33.8,16,8,42.5,42.5,8980000,8980000,14300000,3700000,45.7,45.7,57.6,29.3,83500,83500,346000,1
L150x18,150,150,18,5120,40.1,16,8,43.8,43.8,10600000,10600000,16800000,4400000,45.5,45.5,57.3,29.3,99800,99800,586000,1
L200x16,200,200,16,6180,48.5,18,9,55.2,55.2,23400000,23400000,37200000,9600000,61.6,61.6,77.6,39.4,162000,162000,561000,1
L200x18,200,200,18,6910,54.3,18,9,56,56,26000000,26000000,41500000,10500000,61.3,61.3,77.5,39,181000,181000,789000,1
L200x20,200,200,20,7630,59.9,18,9,56.8,56.8,28500000,28500000,45300000,11700000,61.1,61.1,77,39.2,199000,199000,1070000,1
L200x24,200,200,24,9060,71.1,18,9,58.4,58.4,33300000,33300000,52800000,13800000,60.6,60.6,76.4,39,235000,235000,1820000,1
L30x20x3,30,20,3,143,1.12,4,2,9.9,5.02,12500,4370,14300,2560,9.35,5.53,10,4.24,621,292,490,0.427
L30x20x4,30,20,4,186,1.46,4,2,10.3,5.41,15900,5530,18100,3300,9.25,5.45,9.88,4.21,807,379,1100,0.421
L40x20x4,40,20,4,226,1.77,4,2,14.7,4.8,35900,6000,38000,3930,12.6,5.15,13,4.17,1420,393,1310,0.252
L40x25x4,40,25,4,246,1.93,4,2,13.6,6.23,38900,11600,43500,7000,12.6,6.87,13.3,5.34,1470,619,1420,0.38
L45x30x4,45,30,4,287,2.25,4.5,2.25,14.8,7.4,57800,20500,66500,11800,14.2,8.45,15.2,6.4,1910,910,1660,0.436
L50x30x5,50,30,5,378,2.96,5,2.5,17.3,7.41,93600,25100,103000,15400,15.7,8.15,16.5,6.39,2860,1110,3400,0.352
L60x30x5,60,30,5,428,3.36,5,2.5,21.7,6.84,156000,26300,165000,17100,19.1,7.84,19.7,6.33,4070,1140,3820,0.257
L60x40x5,60,40,5,479,3.76,6,3,19.6,9.72,172000,61100,197000,35400,18.9,11.3,20.3,8.6,4250,2020,4350,0.434
L60x40x6,60,40,6,568,4.46,6,3,20,10.1,201000,71200,231000,41600,18.8,11.2,20.2,8.55,5030,2380,7350,0.431
L65x50x5,65,50,5,554,4.35,6,3,19.9,12.5,232000,119000,288000,63200,20.5,14.7,22.8,10.7,5140,3190,4980,0.577
L70x50x6,70,50,6,689,5.41,7,3.5,22.3,12.5,334000,142000,397000,79200,22,14.4,24,10.7,7010,3780,8990,0.5
L75x50x6,75,50,6,719,5.65,7,3.5,24.4,12.1,405000,144000,466000,83600,23.7,14.2,25.5,10.8,8010,3810,9350,0.435
L75x50x8,75,50,8,941,7.39,7,3.5,25.2,12.9,520000,184000,596000,108000,23.5,14,25.2,10.7,10400,4950,21400,0.43
L80x40x6,80,40,6,689,5.41,7,3.5,28.5,8.84,449000,75900,476000,49300,25.5,10.5,26.3,8.45,8730,2440,8990,0.258
L80x40x8,80,40,8,901,7.07,7,3.5,29.4,9.63,576000,96100,609000,63400,25.3,10.3,26,8.38,11400,3160,20500,0.253
L80x60x7,80,60,7,938,7.36,8,4,25.1,15.2,590000,284000,720000,154000,25.1,17.4,27.7,12.8,10700,6340,16600,0.546
L100x50x6,100,50,6,871,6.84,8,4,35.1,10.5,899000,154000,954000,99200,32.1,13.3,33.1,10.7,13800,3890,11400,0.262
L100x50x8,100,50,8,1140,8.97,8,4,36,11.3,1160000,197000,1230000,128000,31.9,13.1,32.8,10.6,18200,5080,26100,0.258
L100x65x7,100,65,7,1120,8.77,10,5,32.3,15.1,1130000,376000,1280000,220000,31.7,18.3,33.9,14,16600,7530,20200,0.415
L100x65x8,100,65,8,1270,9.94,10,5,32.7,15.5,1270000,422000,1440000,248000,31.6,18.2,33.7,14,18900,8540,29600,0.413
L100x65x10,100,65,10,1560,12.3,10,5,33.6,16.3,1540000,510000,1750000,301000,31.4,18.1,33.5,13.9,23200,10500,56100,0.41
L100x75x8,100,75,8,1350,10.6,10,5,31,18.7,1330000,641000,1620000,346000,31.4,21.8,34.7,16,19300,11400,31300,0.547
L100x75x10,100,75,10,1660,13,10,5,31.9,19.5,1620000,776000,1970000,422000,31.2,21.6,34.5,15.9,23800,14000,59500,0.544
L100x75x12,100,75,12,1970,15.4,10,5,32.7,20.3,1890000,902000,2300000,495000,31,21.4,34.2,15.9,28000,16500,100000,0.54
L125x75x8,125,75,8,1550,12.2,11,5.5,41.4,16.8,2470000,676000,2740000,409000,40,20.9,42.1,16.3,29600,11600,36200,0.36
L125x75x10,125,75,10,1910,15,11,5.5,42.3,17.6,3020000,821000,3340000,499000,39.7,20.7,41.8,16.1,36500,14300,68700,0.357
L125x75x12,125,75,12,2270,17.8,11,5.5,43.1,18.4,3540000,955000,3910000,585000,39.5,20.5,41.5,16.1,43200,16900,116000,0.354
L150x75x10,150,75,10,2170,17,12,6,53.1,16.1,5010000,856000,5310000,551000,48.1,19.9,49.5,16,51600,14500,78000,0.261
L150x75x12,150,75,12,2570,20.2,12,6,54,16.9,5880000,996000,6230000,647000,47.8,19.7,49.2,15.9,61300,17100,132000,0.258
L150x75x15,150,75,15,3170,24.8,12,6,55.2,18.1,7130000,1190000,7530000,786000,47.5,19.4,48.8,15.8,75200,21000,251000,0.253
L150x90x10,150,90,10,2320,18.2,12,6,50,20.4,5330000,1460000,5910000,883000,48,25.1,50.5,19.5,53300,21000,83000,0.36
L150x90x12,150,90,12,2750,21.6,12,6,50.8,21.2,6270000,1710000,6940000,1040000,47.7,24.9,50.2,19.4,63300,24800,141000,0.358
L150x90x15,150,90,15,3390,26.6,12,6,52.1,22.3,7610000,2050000,8410000,1260000,47.4,24.6,49.8,19.3,77700,30400,268000,0.354
L200x100x10,200,100,10,2920,23,15,7.5,69.3,20.1,12200000,2100000,12900000,1350000,64.6,26.8,66.5,21.5,93200,26300,107000,0.263
L200x100x12,200,100,12,3480,27.3,15,7.5,70.3,21,14400000,2470000,15300000,1590000,64.3,26.6,66.3,21.4,111000,31300,180000,0.262
L200x100x15,200,100,15,4300,33.8,15,7.5,71.6,22.2,17600000,2990000,18600000,1930000,64,26.4,65.9,21.2,137000,38500,343000,0.26
L200x15x12,200,15,12,4080,32,15,7.5,60.8,36.1,16500000,8030000,20300000,4300000,63.6,44.4,70.4,32.5,119000,70500,209000,0.552
L200x150x15,200,150,15,5050,39.6,15,7.5,62.1,37.3,20200000,9790000,24800000,5260000,63.3,44,70,32.3,147000,86900,399000,0.551
L200x150x18,200,150,18,6010,47.1,15,7.5,63.3,38.5,23800000,11500000,29200000,6230000,62.9,43.7,69.7,32.2,174000,103000,679000,0.549
