,h,b,t,ro,ri,m,P,A,"Av,z","Av,y",Iy,iy,"Wel,y","Wpl,y",Iz,iz,"Wel,z","Wpl,z",IT,WT,manufacture
,[mm],[mm],[mm],[mm],[mm],[kg/m],[m],[mm2],[mm2],[mm2],[mm4],[mm],[mm3],[mm3],[mm4],[mm],[mm3],[mm3],[mm4],[mm3],
RHS50x30x2.6,50,30,2.6,3.9,2.6,3,153,382,239,143,121800,17.9,4873,6118,53750,11.9,3584,4246,121000,5897,cold
RHS50x30x3.2,50,30,3.2,4.8,3.2,3.61,152,460,288,173,142100,17.6,5683,7246,61970,11.6,4132,5001,141900,6796,cold
RHS50x30x4,50,30,4,6,4,4.39,150,559,349,210,164900,17.2,6596,8593,70840,11.3,4722,5885,165900,7771,cold
RHS50x30x5,50,30,5,7.5,5,5.28,147,673,421,252,187100,16.7,7486,10030,78880,10.8,5258,6797,189700,8667,cold
RHS60x40x2.6,60,40,2.6,3.9,2.6,3.81,193,486,291,194,235800,22,7862,9649,124400,16,6220,7257,259300,10040,cold
RHS60x40x3.2,60,40,3.2,4.8,3.2,4.62,192,588,353,235,278200,21.8,9275,11520,145700,15.7,7287,8639,308000,11740,cold
RHS60x40x4,60,40,4,6,4,5.64,190,719,431,288,328300,21.4,10940,13830,170300,15.4,8517,10320,366600,13710,cold
RHS60x40x5,60,40,5,7.5,5,6.85,187,873,524,349,380900,20.9,12700,16390,195300,15,9767,12160,429800,15710,cold
RHS60x40x6.3,60,40,6.3,9.4,6.3,8.31,184,1059,635,423,433900,20.2,14460,19230,219200,14.4,10960,14150,495500,17640,cold
RHS80x40x3.2,80,40,3.2,4.8,3.2,5.62,232,716,477,239,571800,28.3,14300,18040,189200,16.3,9459,10990,461900,16080,cold
RHS80x40x4,80,40,4,6,4,6.9,230,879,586,293,682000,27.9,17050,21820,222400,15.9,11120,13200,551900,18900,cold
RHS80x40x5,80,40,5,7.5,5,8.42,227,1073,715,358,802800,27.4,20070,26130,257000,15.5,12850,15660,650500,21850,cold
RHS80x40x6.3,80,40,6.3,9.4,6.3,10.3,224,1311,874,437,932800,26.7,23320,31080,291600,14.9,14580,18400,756300,24840,cold
RHS80x40x8,80,40,8,12,8,12.5,219,1595,1064,532,1060000,25.8,26500,36470,321100,14.2,16050,21200,857600,27450,cold
RHS90x50x3.2,90,50,3.2,4.8,3.2,6.63,272,844,543,301,891300,32.5,19810,24560,352700,20.4,14110,16230,808700,23580,cold
RHS90x50x4,90,50,4,6,4,8.15,270,1039,668,371,1071000,32.1,23800,29850,419500,20.1,16780,19630,975200,28020,cold
RHS90x50x5,90,50,5,7.5,5,9.99,267,1273,818,455,1273000,31.6,28280,35990,492100,19.7,19690,23530,1164000,32860,cold
RHS90x50x6.3,90,50,6.3,9.4,6.3,12.3,264,1563,1005,558,1499000,31,33300,43220,569900,19.1,22800,28020,1377000,38060,cold
RHS90x50x8,90,50,8,12,8,15,259,1915,1231,684,1736000,30.1,38570,51410,645800,18.4,25830,32940,1603000,43210,cold
RHS100x50x3.2,100,50,3.2,4.8,3.2,7.13,292,908,605,303,1159000,35.7,23170,28940,387800,20.7,15510,17730,934500,26380,cold
RHS100x50x4,100,50,4,6,4,8.78,290,1119,746,373,1396000,35.3,27920,35240,461900,20.3,18480,21470,1128000,31400,cold
RHS100x50x5,100,50,5,7.5,5,10.8,287,1373,915,458,1665000,34.8,33300,42610,543000,19.9,21720,25780,1347000,36910,cold
RHS100x50x6.3,100,50,6.3,9.4,6.3,13.3,284,1689,1126,563,1971000,34.2,39420,51350,630500,19.3,25220,30770,1597000,42890,cold
RHS100x50x8,100,50,8,12,8,16.3,279,2075,1384,692,2299000,33.3,45980,61380,717200,18.6,28690,36300,1864000,48890,cold
RHS100x60x3.2,100,60,3.2,4.8,3.2,7.63,312,972,608,365,1309000,36.7,26170,32040,588300,24.6,19610,22430,1285000,32360,cold
RHS100x60x4,100,60,4,6,4,9.41,310,1199,749,450,1580000,36.3,31610,39080,705200,24.3,23510,27270,1559000,38740,cold
RHS100x60x5,100,60,5,7.5,5,11.6,307,1473,921,552,1891000,35.8,37820,47360,835900,23.8,27860,32890,1875000,45860,cold
RHS100x60x6.3,100,60,6.3,9.4,6.3,14.2,304,1815,1134,680,2248000,35.2,44960,57250,981500,23.3,32720,39530,2244000,53810,cold
RHS100x60x8,100,60,8,12,8,17.5,299,2235,1397,838,2638000,34.4,52770,68740,1133000,22.5,37780,47080,2654000,62170,cold
RHS120x60x4,120,60,4,6,4,10.7,350,1359,906,453,2487000,42.8,41460,51870,830900,24.7,27700,31750,2007000,47100,cold
RHS120x60x5,120,60,5,7.5,5,13.1,347,1673,1115,558,2992000,42.3,49870,63090,987600,24.3,32920,38390,2418000,55950,cold
RHS120x60x6.3,120,60,6.3,9.4,6.3,16.2,344,2067,1378,689,3583000,41.6,59710,76660,1164000,23.7,38800,46300,2900000,65940,cold
RHS120x60x8,120,60,8,12,8,20.1,339,2555,1704,852,4247000,40.8,70790,92700,1351000,23,45050,55400,3443000,76640,cold
RHS120x60x10,120,60,10,15,10,24.3,334,3093,2062,1031,4881000,39.7,81360,109200,1515000,22.1,50510,64380,3957000,86130,cold
RHS120x80x4,120,80,4,6,4,11.9,390,1519,911,608,3026000,44.6,50430,61150,1607000,32.5,40180,46140,3304000,64980,cold
RHS120x80x5,120,80,5,7.5,5,14.7,387,1873,1124,749,3654000,44.2,60900,74590,1929000,32.1,48240,56130,4013000,77880,cold
RHS120x80x6.3,120,80,6.3,9.4,6.3,18.2,384,2319,1391,927,4398000,43.6,73300,90980,2305000,31.5,57620,68220,4866000,92870,cold
RHS120x80x8,120,80,8,12,8,22.6,379,2875,1725,1150,5253000,42.7,87540,110600,2726000,30.8,68140,82550,5866000,109700,cold
RHS120x80x10,120,80,10,15,10,27.4,374,3493,2096,1397,6095000,41.8,101600,131200,3126000,29.9,78140,97300,6876000,125700,cold
RHS140x80x4,140,80,4,6,4,13.2,430,1679,1068,610,4406000,51.2,62940,77140,1838000,33.1,45960,52220,4107000,76530,cold
RHS140x80x5,140,80,5,7.5,5,16.3,427,2073,1319,754,5340000,50.8,76280,94320,2211000,32.7,55280,63630,4994000,91940,cold
RHS140x80x6.3,140,80,6.3,9.4,6.3,20.2,424,2571,1636,935,6458000,50.1,92260,115400,2648000,32.1,66200,77510,6065000,110000,cold
RHS140x80x8,140,80,8,12,8,25.1,419,3195,2033,1162,7763000,49.3,110900,141000,3142000,31.4,78550,94070,7329000,130400,cold
RHS140x80x10,140,80,10,15,10,30.6,414,3893,2477,1416,9081000,48.3,129700,168100,3619000,30.5,90470,111300,8621000,150300,cold
RHS150x100x4,150,100,4,6,4,15.1,490,1919,1151,768,6073000,56.3,80970,97410,3240000,41.1,64810,73640,6601000,105000,cold
RHS150x100x5,150,100,5,7.5,5,18.6,487,2373,1424,949,7387000,55.8,98500,119400,3923000,40.7,78470,90110,8067000,126900,cold
RHS150x100x6.3,150,100,6.3,9.4,6.3,23.1,484,2949,1769,1179,8979000,55.2,119700,146700,4741000,40.1,94810,110400,9865000,153100,cold
RHS150x100x8,150,100,8,12,8,28.9,479,3675,2205,1470,10870000,54.4,144900,180100,5693000,39.4,113900,135000,12030000,183500,cold
RHS150x100x10,150,100,10,15,10,35.3,474,4493,2696,1797,12820000,53.4,171000,216000,6654000,38.5,133100,161200,14320000,214200,cold
RHS150x100x12.5,150,100,12.5,18.8,12.5,42.8,468,5457,3274,2183,14880000,52.2,198400,256200,7631000,37.4,152600,190000,16790000,245500,cold
RHS160x80x4,160,80,4,6,4,14.4,470,1839,1226,613,6122000,57.7,76530,94730,2070000,33.5,51740,58300,4930000,88080,cold
RHS160x80x5,160,80,5,7.5,5,17.8,467,2273,1515,758,7440000,57.2,93000,116100,2493000,33.1,62320,71130,6000000,106000,cold
RHS160x80x6.3,160,80,6.3,9.4,6.3,22.2,464,2823,1882,941,9032000,56.6,112900,142400,2991000,32.6,74780,86800,7296000,127100,cold
RHS160x80x8,160,80,8,12,8,27.6,459,3515,2344,1172,10910000,55.7,136400,174500,3558000,31.8,88960,105600,8831000,151200,cold
RHS160x80x10,160,80,10,15,10,33.7,454,4293,2862,1431,12840000,54.7,160600,209000,4112000,31,102800,125300,10410000,174800,cold
RHS160x80x12.5,160,80,12.5,18.8,12.5,40.9,448,5207,3472,1736,14850000,53.4,185700,247200,4647000,29.9,116200,146400,12040000,197900,cold
RHS180x100x4,180,100,4,6,4,16.9,550,2159,1388,771,9445000,66.1,104900,128000,3794000,41.9,75870,85160,8521000,127100,cold
RHS180x100x5,180,100,5,7.5,5,21,547,2673,1718,955,11530000,65.7,128100,157300,4601000,41.5,92020,104400,10420000,154000,cold
RHS180x100x6.3,180,100,6.3,9.4,6.3,26.1,544,3327,2139,1188,14070000,65,156400,193800,5572000,40.9,111400,128100,12770000,186200,cold
RHS180x100x8,180,100,8,12,8,32.6,539,4155,2671,1484,17130000,64.2,190400,238800,6711000,40.2,134200,157100,15600000,224100,cold
RHS180x100x10,180,100,10,15,10,40,534,5093,3274,1819,20360000,63.2,226200,287900,7874000,39.3,157500,188200,18620000,262800,cold
RHS180x100x12.5,180,100,12.5,18.8,12.5,48.7,528,6207,3990,2217,23850000,62,265000,343700,9076000,38.2,181500,222900,21910000,303100,cold
RHS200x100x4,200,100,4,6,4,18.2,590,2319,1546,773,12230000,72.6,122300,150400,4162000,42.4,83250,92840,9834000,141900,cold
RHS200x100x5,200,100,5,7.5,5,22.6,587,2873,1915,958,14950000,72.1,149500,185000,5053000,41.9,101100,113900,12040000,172000,cold
RHS200x100x6.3,200,100,6.3,9.4,6.3,28.1,584,3579,2386,1193,18290000,71.5,182900,228300,6125000,41.4,122500,139900,14750000,208400,cold
RHS200x100x8,200,100,8,12,8,35.1,579,4475,2984,1492,22340000,70.6,223400,282000,7390000,40.6,147800,171800,18040000,251200,cold
RHS200x100x10,200,100,10,15,10,43.1,574,5493,3662,1831,26640000,69.6,266400,340900,8688000,39.8,173800,206200,21560000,295300,cold
RHS200x100x12.5,200,100,12.5,18.8,12.5,52.7,568,6707,4472,2236,31360000,68.4,313600,408200,10040000,38.7,200800,244700,25410000,341500,cold
RHS200x100x16,200,100,16,24,16,65.2,559,8301,5534,2767,36780000,66.6,367800,491100,11470000,37.2,229500,290400,29820000,391100,cold
RHS200x120x6.3,200,120,6.3,9.4,6.3,30.1,624,3831,2394,1436,20650000,73.4,206500,252700,9290000,49.2,154800,176900,20280000,255500,cold
RHS200x120x8,200,120,8,12,8,37.6,619,4795,2997,1798,25290000,72.6,252900,312700,11280000,48.5,188100,218100,24950000,309900,cold
RHS200x120x10,200,120,10,15,10,46.3,614,5893,3683,2210,30260000,71.7,302600,378900,13370000,47.6,222900,263200,30010000,366900,cold
RHS200x120x12.5,200,120,12.5,18.8,12.5,56.6,608,7207,4505,2703,35760000,70.4,357600,455100,15620000,46.6,260400,314300,35690000,428300,cold
RHS250x150x6.3,250,150,6.3,9.4,6.3,38,784,4839,3024,1814,41430000,92.5,331400,402400,18740000,62.2,249900,282500,40540000,412900,cold
RHS250x150x8,250,150,8,12,8,47.7,779,6075,3797,2278,51110000,91.7,408900,500600,22980000,61.5,306400,350500,50210000,505600,cold
RHS250x150x10,250,150,10,15,10,58.8,774,7493,4683,2810,61740000,90.8,493900,610700,27550000,60.6,367300,426000,60900000,605200,cold
RHS250x150x12.5,250,150,12.5,18.8,12.5,72.3,768,9207,5755,3453,73870000,89.6,590900,740000,32650000,59.6,435400,514000,73260000,716600,cold
RHS250x150x14.2,250,150,14.2,21.3,14.2,81.1,763,10337,6461,3876,81410000,88.7,651300,822700,35760000,58.8,476800,569700,81020000,784400,cold
RHS250x150x16,250,150,16,24,16,90.3,759,11501,7188,4313,88790000,87.9,710400,905800,38730000,58,516400,625100,88680000,849500,cold
RHS260x180x6.3,260,180,6.3,9.4,6.3,41.9,864,5343,3157,2186,51660000,98.3,397400,474900,29290000,74,325400,368900,58100000,523700,cold
RHS260x180x8,260,180,8,12,8,52.7,859,6715,3968,2747,63900000,97.5,491500,591900,36080000,73.3,400900,459000,72210000,644000,cold
RHS260x180x10,260,180,10,15,10,65.1,854,8293,4900,3392,77410000,96.6,595500,723600,43510000,72.4,483400,559900,87980000,775100,cold
RHS260x180x12.5,260,180,12.5,18.8,12.5,80.1,848,10207,6032,4176,92990000,95.4,715300,879400,51960000,71.3,577300,678700,106400000,923800,cold
RHS260x180x14.2,260,180,14.2,21.3,14.2,90.1,843,11473,6780,4694,102800000,94.6,790600,979800,57190000,70.6,635500,754700,118200000,1016000,cold
RHS260x180x16,260,180,16,24,16,100.3,839,12781,7553,5229,112500000,93.8,865000,1081000,62310000,69.8,692300,831100,129900000,1106000,cold
RHS300x200x6.3,300,200,6.3,9.4,6.3,47.9,984,6099,3659,2439,78290000,113.3,521900,623800,41930000,82.9,419300,472400,84760000,680600,cold
RHS300x200x8,300,200,8,12,8,60.3,979,7675,4605,3070,97170000,112.5,647800,779300,51840000,82.2,518400,589200,105600000,840000,cold
RHS300x200x10,300,200,10,15,10,74.5,974,9493,5696,3797,118200000,111.6,788000,955500,62780000,81.3,627800,720900,129100000,1015000,cold
RHS300x200x12.5,300,200,12.5,18.8,12.5,91.9,968,11707,7024,4683,142700000,110.4,951500,1165000,75370000,80.2,753700,877000,156800000,1217000,cold
RHS300x200x14.2,300,200,14.2,21.3,14.2,103.4,963,13177,7906,5271,158300000,109.6,1055000,1302000,83280000,79.5,832800,977800,174600000,1343000,cold
RHS300x200x16,300,200,16,24,16,115.4,959,14701,8821,5881,173900000,108.8,1159000,1441000,91090000,78.7,910900,1080000,192500000,1468000,cold
RHS350x250x6.3,350,250,6.3,9.4,6.3,57.8,1184,7359,4293,3066,132000000,133.9,754500,892400,78850000,103.5,630800,709500,152100000,1011000,cold
RHS350x250x8,350,250,8,12,8,72.8,1179,9275,5411,3865,164500000,133.2,940000,1118000,97980000,102.8,783900,887800,190300000,1254000,cold
RHS350x250x10,350,250,10,15,10,90.2,1174,11493,6704,4789,201000000,132.3,1149000,1375000,119400000,101.9,955000,1091000,233500000,1525000,cold
RHS350x250x12.5,350,250,12.5,18.8,12.5,111.5,1168,14207,8288,5920,244200000,131.1,1395000,1685000,144400000,100.8,1156000,1334000,285300000,1842000,cold
RHS350x250x14.2,350,250,14.2,21.3,14.2,125.7,1163,16017,9343,6674,272000000,130.3,1554000,1887000,160500000,100.1,1284000,1492000,318900000,2044000,cold
RHS350x250x16,350,250,16,24,16,140.5,1159,17901,10442,7459,300100000,129.5,1715000,2095000,176500000,99.3,1412000,1655000,353300000,2246000,cold
