,h,b,t,r_o,r_i,m,P,A,A_vz,A_vy,I_y,i_y,W_ely,W_ply,I_z,i_z,W_elz,W_plz,I_T,W_T,manufacture
,[mm],[mm],[mm],[mm],[mm],[kg/m],[m],[mm2],[mm2],[mm2],[mm4],[mm],[mm3],[mm3],[mm4],[mm],[mm3],[mm3],[mm4],[mm3],
SHS20x2,20,20,2,4,2,1.05,73,134,67,67,6922,7.2,692.2,876.9,6922,7.2,692.2,876.9,12150,1060,cold
SHS25x2,25,25,2,4,2,1.36,93,174,87,87,14830,9.2,1187,1466,14830,9.2,1187,1466,25260,1804,cold
SHS25x2.5,25,25,2.5,5,2.5,1.64,91,209,104,104,16900,9,1352,1713,16900,9,1352,1713,29660,2070,cold
SHS25x3,25,25,3,6,3,1.89,90,241,120,120,18410,8.7,1473,1915,18410,8.7,1473,1915,33270,2275,cold
SHS30x2,30,30,2,4,2,1.68,113,214,107,107,27220,11.3,1815,2205,27220,11.3,1815,2205,45400,2747,cold
SHS30x2.5,30,30,2.5,5,2.5,2.03,111,259,129,129,31560,11,2104,2610,31560,11,2104,2610,54010,3202,cold
SHS30x3,30,30,3,6,3,2.36,110,301,150,150,35040,10.8,2336,2959,35040,10.8,2336,2959,61500,3577,cold
SHS40x2,40,40,2,4,2,2.31,153,294,147,147,69400,15.4,3470,4134,69400,15.4,3470,4134,112800,5230,cold
SHS40x2.5,40,40,2.5,5,2.5,2.82,151,359,179,179,82150,15.1,4108,4967,82150,15.1,4108,4967,136100,6210,cold
SHS40x3,40,40,3,6,3,3.3,150,421,210,210,93240,14.9,4662,5724,93240,14.9,4662,5724,157500,7074,cold
SHS40x4,40,40,4,8,4,4.2,146,535,267,267,110700,14.4,5537,7015,110700,14.4,5537,7015,194400,8479,cold
SHS50x2,50,50,2,4,2,2.93,193,374,187,187,141500,19.5,5659,6662,141500,19.5,5659,6662,226300,8513,cold
SHS50x2.5,50,50,2.5,5,2.5,3.6,191,459,229,229,169400,19.2,6778,8074,169400,19.2,6778,8074,275300,10220,cold
SHS50x3,50,50,3,6,3,4.25,190,541,270,270,194700,19,7787,9388,194700,19,7787,9388,321300,11760,cold
SHS50x4,50,50,4,8,4,5.45,186,695,347,347,237400,18.5,9494,11730,237400,18.5,9494,11730,404200,14430,cold
SHS50x5,50,50,5,10,5,6.56,183,836,418,418,270400,18,10820,13700,270400,18,10820,13700,474600,16560,cold
SHS60x2,60,60,2,4,2,3.56,233,454,227,227,251400,23.5,8381,9791,251400,23.5,8381,9791,397900,12590,cold
SHS60x2.5,60,60,2.5,5,2.5,4.39,231,559,279,279,303400,23.3,10110,11930,303400,23.3,10110,11930,486600,15220,cold
SHS60x3,60,60,3,6,3,5.19,230,661,330,330,351300,23.1,11710,13950,351300,23.1,11710,13950,570900,17650,cold
SHS60x4,60,60,4,8,4,6.71,226,855,427,427,435500,22.6,14520,17640,435500,22.6,14520,17640,726400,21970,cold
SHS60x5,60,60,5,10,5,8.13,223,1036,518,518,504900,22.1,16830,20880,504900,22.1,16830,20880,864200,25610,cold
SHS60x6,60,60,6,12,6,9.45,219,1203,602,602,560700,21.6,18690,23680,560700,21.6,18690,23680,984100,28620,cold
SHS60x6.3,60,60,6.3,15.8,9.4,9.55,213,1217,608,608,544100,21.1,18140,23390,544100,21.1,18140,23390,1001000,28800,cold
SHS70x2.5,70,70,2.5,5,2.5,5.17,271,659,329,329,494100,27.4,14120,16540,494100,27.4,14120,16540,784900,21220,cold
SHS70x3,70,70,3,6,3,6.13,270,781,390,390,575300,27.1,16440,19420,575300,27.1,16440,19420,924200,24740,cold
SHS70x4,70,70,4,8,4,7.97,266,1015,507,507,721200,26.7,20610,24760,721200,26.7,20610,24760,1185000,31110,cold
SHS70x5,70,70,5,10,5,9.7,263,1236,618,618,846300,26.2,24180,29560,846300,26.2,24180,29560,1422000,36650,cold
SHS70x6,70,70,6,12,6,11.3,259,1443,722,722,951700,25.7,27190,33830,951700,25.7,27190,33830,1635000,41410,cold
SHS70x6.3,70,70,6.3,15.8,9.4,11.5,253,1469,734,734,937700,25.3,26790,33800,937700,25.3,26790,33800,1681000,42100,cold
SHS80x3,80,80,3,6,3,7.07,310,901,450,450,878400,31.2,21960,25780,878400,31.2,21960,25780,1399000,33020,cold
SHS80x4,80,80,4,8,4,9.22,306,1175,587,587,1110000,30.7,27760,33070,1110000,30.7,27760,33070,1804000,41840,cold
SHS80x5,80,80,5,10,5,11.3,303,1436,718,718,1314000,30.3,32860,39740,1314000,30.3,32860,39740,2178000,49680,cold
SHS80x6,80,80,6,12,6,13.2,299,1683,842,842,1492000,29.8,37290,45790,1492000,29.8,37290,45790,2521000,56590,cold
SHS80x6.3,80,80,6.3,15.8,9.4,13.5,293,1721,860,860,1485000,29.4,37130,46110,1485000,29.4,37130,46110,2610000,57900,cold
SHS80x8,80,80,8,20,12,16.4,286,2084,1042,1042,1684000,28.4,42090,53890,1684000,28.4,42090,53890,3071000,66610,cold
SHS90x3,90,90,3,6,3,8.01,350,1021,510,510,1273000,35.3,28290,33040,1273000,35.3,28290,33040,2014000,42510,cold
SHS90x4,90,90,4,8,4,10.5,346,1335,667,667,1619000,34.8,35980,42580,1619000,34.8,35980,42580,2608000,54170,cold
SHS90x5,90,90,5,10,5,12.8,343,1636,818,818,1929000,34.3,42870,51410,1929000,34.3,42870,51410,3163000,64700,cold
SHS90x6,90,90,6,12,6,15.1,339,1923,962,962,2205000,33.9,48990,59540,2205000,33.9,48990,59540,3678000,74160,cold
SHS90x6.3,90,90,6.3,15.8,9.4,15.5,333,1973,986,986,2211000,33.5,49140,60300,2211000,33.5,49140,60300,3823000,76210,cold
SHS90x8,90,90,8,20,12,18.9,326,2404,1202,1202,2546000,32.5,56580,71270,2546000,32.5,56580,71270,4556000,88830,cold
SHS100x3,100,100,3,6,3,8.96,390,1141,570,570,1770000,39.4,35410,41210,1770000,39.4,35410,41210,2787000,53190,cold
SHS100x4,100,100,4,8,4,11.7,386,1495,747,747,2264000,38.9,45270,53300,2264000,38.9,45270,53300,3620000,68100,cold
SHS100x5,100,100,5,10,5,14.4,383,1836,918,918,2711000,38.4,54220,64590,2711000,38.4,54220,64590,4405000,81720,cold
SHS100x6,100,100,6,12,6,17,379,2163,1082,1082,3115000,37.9,62290,75100,3115000,37.9,62290,75100,5142000,94120,cold
SHS100x6.3,100,100,6.3,15.8,9.4,17.5,373,2225,1112,1112,3142000,37.6,62830,76380,3142000,37.6,62830,76380,5360000,97020,cold
SHS100x8,100,100,8,20,12,21.4,366,2724,1362,1362,3659000,36.7,73190,91050,3659000,36.7,73190,91050,6445000,114200,cold
SHS100x10,100,100,10,25,15,25.6,357,3257,1628,1628,4111000,35.5,82220,105200,4111000,35.5,82220,105200,7498000,130100,cold
SHS100x12,100,100,12,36,24,28.3,338,3606,1803,1803,4081000,33.6,81610,109700,4081000,33.6,81610,109700,7936000,135900,cold
SHS100x12.5,100,100,12.5,37.5,25,29.1,336,3704,1852,1852,4104000,33.3,82080,111400,4104000,33.3,82080,111400,8036000,137300,cold
SHS120x3,120,120,3,6,3,10.8,470,1381,690,690,3123000,47.6,52060,60240,3123000,47.6,52060,60240,4877000,78150,cold
SHS120x4,120,120,4,8,4,14.2,466,1815,907,907,4023000,47.1,67050,78330,4023000,47.1,67050,78330,6366000,100800,cold
SHS120x5,120,120,5,10,5,17.5,463,2236,1118,1118,4855000,46.6,80910,95450,4855000,46.6,80910,95450,7785000,121800,cold
SHS120x6,120,120,6,12,6,20.7,459,2643,1322,1322,5622000,46.1,93690,111600,5622000,46.1,93690,111600,9135000,141200,cold
SHS120x6.3,120,120,6.3,15.8,9.4,21.4,453,2729,1364,1364,5716000,45.8,95260,114200,5716000,45.8,95260,114200,9555000,146200,cold
SHS120x8,120,120,8,20,12,26.4,446,3364,1682,1682,6769000,44.9,112800,137800,6769000,44.9,112800,137800,11630000,174600,cold
SHS120x10,120,120,10,25,15,31.8,437,4057,2028,2028,7768000,43.8,129500,161800,7768000,43.8,129500,161800,13760000,202500,cold
SHS120x12,120,120,12,36,24,35.8,418,4566,2283,2283,8057000,42,134300,174100,8057000,42,134300,174100,15180000,219300,cold
SHS120x12.5,120,120,12.5,37.5,25,36.9,416,4704,2352,2352,8170000,41.7,136200,177800,8170000,41.7,136200,177800,15510000,223300,cold
SHS140x4,140,140,4,8,4,16.8,546,2135,1067,1067,6516000,55.2,93090,108200,6516000,55.2,93090,108200,10230000,139800,cold
SHS140x5,140,140,5,10,5,20.7,543,2636,1318,1318,7906000,54.8,112900,132300,7906000,54.8,112900,132300,12560000,169800,cold
SHS140x6,140,140,6,12,6,24.5,539,3123,1562,1562,9204000,54.3,131500,155300,9204000,54.3,131500,155300,14790000,197900,cold
SHS140x6.3,140,140,6.3,15.8,9.4,25.4,533,3233,1616,1616,9408000,53.9,134400,159600,9408000,53.9,134400,159600,15500000,205400,cold
SHS140x8,140,140,8,20,12,31.4,526,4004,2002,2002,11270000,53,161000,194200,11270000,53,161000,194200,19010000,247700,cold
SHS140x10,140,140,10,25,15,38.1,517,4857,2428,2428,13120000,52,187400,230400,13120000,52,187400,230400,22740000,290800,cold
SHS140x12,140,140,12,36,24,43.4,498,5526,2763,2763,13980000,50.3,199800,252900,13980000,50.3,199800,252900,25670000,321700,cold
SHS140x12.5,140,140,12.5,37.5,25,44.8,496,5704,2852,2852,14250000,50,203600,259200,14250000,50,203600,259200,26340000,329000,cold
SHS150x4,150,150,4,8,4,18,586,2295,1147,1147,8078000,59.3,107700,124900,8078000,59.3,107700,124900,12650000,161700,cold
SHS150x5,150,150,5,10,5,22.3,583,2836,1418,1418,9821000,58.9,130900,153000,9821000,58.9,130900,153000,15540000,196800,cold
SHS150x6,150,150,6,12,6,26.4,579,3363,1682,1682,11460000,58.4,152800,179900,11460000,58.4,152800,179900,18330000,229800,cold
SHS150x6.3,150,150,6.3,15.8,9.4,27.4,573,3485,1742,1742,11740000,58,156500,185100,11740000,58,156500,185100,19220000,238800,cold
SHS150x8,150,150,8,20,12,33.9,566,4324,2162,2162,14120000,57.1,188200,226000,14120000,57.1,188200,226000,23640000,289000,cold
SHS150x10,150,150,10,25,15,41.3,557,5257,2628,2628,16530000,56.1,220300,269200,16530000,56.1,220300,269200,28390000,341000,cold
SHS150x12,150,150,12,36,24,47.1,538,6006,3003,3003,17800000,54.4,237300,297700,17800000,54.4,237300,297700,32310000,380000,cold
SHS150x12.5,150,150,12.5,37.5,25,48.7,536,6204,3102,3102,18170000,54.1,242300,305600,18170000,54.1,242300,305600,33210000,389300,cold
SHS150x16,150,150,16,48,32,58.7,518,7477,3739,3739,20090000,51.8,267900,351400,20090000,51.8,267900,351400,38300000,440400,cold
SHS160x4,160,160,4,8,4,19.3,626,2455,1227,1227,9872000,63.4,123400,142800,9872000,63.4,123400,142800,15410000,185300,cold
SHS160x5,160,160,5,10,5,23.8,623,3036,1518,1518,12020000,62.9,150300,175200,12020000,62.9,150300,175200,18960000,225800,cold
SHS160x6,160,160,6,12,6,28.3,619,3603,1802,1802,14050000,62.5,175700,206200,14050000,62.5,175700,206200,22390000,264200,cold
SHS160x6.3,160,160,6.3,15.8,9.4,29.3,613,3737,1868,1868,14420000,62.1,180300,212600,14420000,62.1,180300,212600,23490000,274700,cold
SHS160x8,160,160,8,20,12,36.5,606,4644,2322,2322,17410000,61.2,217700,260100,17410000,61.2,217700,260100,28970000,333600,cold
SHS160x10,160,160,10,25,15,44.4,597,5657,2828,2828,20480000,60.2,256000,310900,20480000,60.2,256000,310900,34900000,395100,cold
SHS160x12,160,160,12,36,24,50.9,578,6486,3243,3243,22240000,58.6,278000,346100,22240000,58.6,278000,346100,39970000,443100,cold
SHS160x12.5,160,160,12.5,37.5,25,52.6,576,6704,3352,3352,22750000,58.3,284400,355700,22750000,58.3,284400,355700,41140000,454600,cold
SHS160x16,160,160,16,48,32,63.7,558,8117,4059,4059,25460000,56,318300,412700,25460000,56,318300,412700,47990000,519700,cold
SHS180x4,180,180,4,8,4,21.8,706,2775,1387,1387,14220000,71.6,158000,182200,14220000,71.6,158000,182200,22100000,237100,cold
SHS180x5,180,180,5,10,5,27,703,3436,1718,1718,17370000,71.1,193000,224000,17370000,71.1,193000,224000,27240000,289800,cold
SHS180x6,180,180,6,12,6,32.1,699,4083,2042,2042,20370000,70.6,226300,264400,20370000,70.6,226300,264400,32230000,340000,cold
SHS180x6.3,180,180,6.3,15.8,9.4,33.3,693,4241,2120,2120,20960000,70.3,232800,273100,20960000,70.3,232800,273100,33830000,354100,cold
SHS180x8,180,180,8,20,12,41.5,686,5284,2642,2642,25460000,69.4,282900,335700,25460000,69.4,282900,335700,41890000,432200,cold
SHS180x10,180,180,10,25,15,50.7,677,6457,3228,3228,30170000,68.4,335200,403500,30170000,68.4,335200,403500,50740000,515300,cold
SHS180x12,180,180,12,36,24,58.5,658,7446,3723,3723,33220000,66.8,369100,453600,33220000,66.8,369100,453600,58650000,583700,cold
SHS180x12.5,180,180,12.5,37.5,25,60.5,656,7704,3852,3852,34060000,66.5,378500,467100,34060000,66.5,378500,467100,60500000,600100,cold
SHS180x16,180,180,16,48,32,73.8,638,9397,4699,4699,38870000,64.3,431900,549500,38870000,64.3,431900,549500,71780000,697500,cold
SHS200x4,200,200,4,8,4,24.3,786,3095,1547,1547,19680000,79.7,196800,226400,19680000,79.7,196800,226400,30490000,295300,cold
SHS200x5,200,200,5,10,5,30.1,783,3836,1918,1918,24100000,79.3,241000,278900,24100000,79.3,241000,278900,37630000,361800,cold
SHS200x6,200,200,6,12,6,35.8,779,4563,2282,2282,28330000,78.8,283300,329700,28330000,78.8,283300,329700,44590000,425500,cold
SHS200x6.3,200,200,6.3,15.8,9.4,37.2,773,4745,2372,2372,29220000,78.5,292200,341200,29220000,78.5,292200,341200,46820000,443500,cold
SHS200x8,200,200,8,20,12,46.5,766,5924,2962,2962,35660000,77.6,356600,420900,35660000,77.6,356600,420900,58150000,543600,cold
SHS200x10,200,200,10,25,15,57,757,7257,3628,3628,42510000,76.5,425100,508100,42510000,76.5,425100,508100,70720000,651500,cold
SHS200x12,200,200,12,36,24,66,738,8406,4203,4203,47300000,75,473000,575600,47300000,75,473000,575600,82300000,743400,cold
SHS200x12.5,200,200,12.5,37.5,25,68.3,736,8704,4352,4352,48590000,74.7,485900,593500,48590000,74.7,485900,593500,85020000,765500,cold
SHS200x16,200,200,16,48,32,83.8,718,10677,5339,5339,56250000,72.6,562500,705600,56250000,72.6,562500,705600,102100000,900800,cold
SHS220x5,220,220,5,10,5,33.2,863,4236,2118,2118,32380000,87.4,294400,339700,32380000,87.4,294400,339700,50380000,441800,cold
SHS220x6,220,220,6,12,6,39.6,859,5043,2522,2522,38130000,87,346700,402200,38130000,87,346700,402200,59760000,520600,cold
SHS220x6.3,220,220,6.3,15.8,9.4,41.2,853,5249,2624,2624,39400000,86.6,358200,416800,39400000,86.6,358200,416800,62770000,543000,cold
SHS220x8,220,220,8,20,12,51.5,846,6564,3282,3282,48280000,85.8,438900,515600,48280000,85.8,438900,515600,78150000,667900,cold
SHS220x10,220,220,10,25,15,63.2,837,8057,4028,4028,57820000,84.7,525700,624600,57820000,84.7,525700,624600,95330000,803600,cold
SHS220x12,220,220,12,36,24,73.5,818,9366,4683,4683,64870000,83.2,589700,712000,64870000,83.2,589700,712000,111500000,922300,cold
SHS220x12.5,220,220,12.5,37.5,25,76.2,816,9704,4852,4852,66740000,82.9,606700,734900,66740000,82.9,606700,734900,115300000,950800,cold
SHS220x16,220,220,16,48,32,93.9,798,11957,5979,5979,78120000,80.8,710200,880800,78120000,80.8,710200,880800,139700000,1129000,cold
SHS250x5,250,250,5,10,5,38,983,4836,2418,2418,48050000,99.7,384400,442300,48050000,99.7,384400,442300,74430000,576800,cold
SHS250x6,250,250,6,12,6,45.2,979,5763,2882,2882,56720000,99.2,453800,524400,56720000,99.2,453800,524400,88430000,681100,cold
SHS250x6.3,250,250,6.3,15.8,9.4,47.1,973,6005,3002,3002,58730000,98.9,469800,544400,58730000,98.9,469800,544400,92900000,711200,cold
SHS250x8,250,250,8,20,12,59.1,966,7524,3762,3762,72290000,98,578300,675800,72290000,98,578300,675800,116000000,878200,cold
SHS250x10,250,250,10,25,15,72.7,957,9257,4628,4628,87070000,97,696500,822000,87070000,97,696500,822000,142000000,1062000,cold
SHS250x12,250,250,12,36,24,84.8,938,10806,5403,5403,98590000,95.5,788800,943600,98590000,95.5,788800,943600,166900000,1226000,cold
SHS250x12.5,250,250,12.5,37.5,25,88,936,11204,5602,5602,101600000,95.2,812900,975200,101600000,95.2,812900,975200,172800000,1266000,cold
SHS250x16,250,250,16,48,32,108.9,918,13877,6939,6939,120500000,93.2,963800,1180000,120500000,93.2,963800,1180000,211500000,1520000,cold
SHS260x6,260,260,6,12,6,47.1,1019,6003,3002,3002,64050000,103.3,492700,568800,64050000,103.3,492700,568800,99700000,739500,cold
SHS260x6.3,260,260,6.3,15.8,9.4,49.1,1013,6257,3128,3128,66350000,103,510400,590700,66350000,103,510400,590700,104800000,772300,cold
SHS260x8,260,260,8,20,12,61.6,1006,7844,3922,3922,81780000,102.1,629100,733900,81780000,102.1,629100,733900,130900000,954700,cold
SHS260x10,260,260,10,25,15,75.8,997,9657,4828,4828,98650000,101.1,758800,893800,98650000,101.1,758800,893800,160400000,1156000,cold
SHS260x12,260,260,12,36,24,88.6,978,11286,5643,5643,112000000,99.6,861500,1028000,112000000,99.6,861500,1028000,188800000,1337000,cold
SHS260x12.5,260,260,12.5,37.5,25,91.9,976,11704,5852,5852,115500000,99.3,888300,1063000,115500000,99.3,888300,1063000,195500000,1381000,cold
SHS260x16,260,260,16,48,32,114,958,14517,7259,7259,137400000,97.3,1057000,1289000,137400000,97.3,1057000,1289000,239900000,1663000,cold
SHS300x6,300,300,6,12,6,54.7,1179,6963,3482,3482,99640000,119.6,664200,764200,99640000,119.6,664200,764200,154300000,996800,cold
SHS300x6.3,300,300,6.3,15.8,9.4,57,1173,7265,3632,3632,103400000,119.3,689500,794900,103400000,119.3,689500,794900,162200000,1042000,cold
SHS300x8,300,300,8,20,12,71.6,1166,9124,4562,4562,128000000,118.4,853400,990700,128000000,118.4,853400,990700,203100000,1293000,cold
SHS300x10,300,300,10,25,15,88.4,1157,11257,5628,5628,155200000,117.4,1035000,1211000,155200000,117.4,1035000,1211000,249700000,1572000,cold
SHS300x12,300,300,12,36,24,103.7,1138,13206,6603,6603,177700000,116,1184000,1402000,177700000,116,1184000,1402000,295100000,1829000,cold
SHS300x12.5,300,300,12.5,37.5,25,107.6,1136,13704,6852,6852,183500000,115.7,1223000,1451000,183500000,115.7,1223000,1451000,306000000,1892000,cold
SHS300x16,300,300,16,48,32,134.1,1118,17077,8539,8539,220800000,113.7,1472000,1774000,220800000,113.7,1472000,1774000,378400000,2299000,cold
SHS350x8,350,350,8,20,12,84.2,1366,10724,5362,5362,206800000,138.9,1182000,1366000,206800000,138.9,1182000,1366000,325600000,1787000,cold
SHS350x10,350,350,10,25,15,104.1,1357,13257,6628,6628,251900000,137.8,1439000,1675000,251900000,137.8,1439000,1675000,401300000,2182000,cold
SHS350x12,350,350,12,36,24,122.5,1338,15606,7803,7803,290500000,136.4,1660000,1949000,290500000,136.4,1660000,1949000,476000000,2552000,cold
SHS350x12.5,350,350,12.5,37.5,25,127.2,1336,16204,8102,8102,300400000,136.2,1717000,2020000,300400000,136.2,1717000,2020000,493900000,2642000,cold
SHS350x16,350,350,16,48,32,159.2,1318,20277,10139,10139,365100000,134.2,2086000,2488000,365100000,134.2,2086000,2488000,614800000,3238000,cold
SHS400x10,400,400,10,25,15,119.8,1557,15257,7628,7628,382200000,158.3,1911000,2214000,382200000,158.3,1911000,2214000,604300000,2892000,cold
SHS400x12,400,400,12,36,24,141.3,1538,18006,9003,9003,443200000,156.9,2216000,2587000,443200000,156.9,2216000,2587000,718400000,3395000,cold
SHS400x12.5,400,400,12.5,37.5,25,146.8,1536,18704,9352,9352,458800000,156.6,2294000,2683000,458800000,156.6,2294000,2683000,746000000,3518000,cold
SHS400x16,400,400,16,48,32,184.3,1518,23477,11739,11739,561500000,154.7,2808000,3322000,561500000,154.7,2808000,3322000,932800000,4336000,cold
SHS500x12.5,500,500,12.5,37.5,25,186.1,1936,23704,11852,11852,924400000,197.5,3698000,4290000,924400000,197.5,3698000,4290000,1480000000,5643000,cold
SHS500x16,500,500,16,48,32,234.5,1918,29877,14939,14939,1143000000,195.6,4570000,5350000,1143000000,195.6,4570000,5350000,1861000000,7013000,cold
SHS500x20,500,500,20,60,40,288,1897,36683,18342,18342,1371000000,193.3,5484000,6488000,1371000000,193.3,5484000,6488000,2277000000,8469000,cold
SHS600x12.5,600,600,12.5,37.5,25,225.3,2336,28704,14352,14352,1631000000,238.3,5435000,6272000,1631000000,238.3,5435000,6272000,2583000000,8268000,cold
SHS600x16,600,600,16,48,32,284.8,2318,36277,18139,18139,2028000000,236.4,6760000,7859000,2028000000,236.4,6760000,7859000,3260000000,10330000,cold
SHS600x20,600,600,20,60,40,350.8,2297,44683,22342,22342,2451000000,234.2,8171000,9583000,2451000000,234.2,8171000,9583000,4007000000,12550000,cold
SHS40x2.6,40,40,2.6,3.9,2.6,3,153,382,191,191,87970,15.2,4399,5312,87970,15.2,4399,5312,140300,6407,hot
SHS40x3.2,40,40,3.2,4.8,3.2,3.61,152,460,230,230,102300,14.9,5115,6284,102300,14.9,5115,6284,165400,7417,hot
SHS40x5,40,40,5,7.5,5,5.28,147,673,337,337,133700,14.1,6684,8663,133700,14.1,6684,8663,225000,9602,hot
SHS50x2.6,50,50,2.6,3.9,2.6,3.81,193,486,243,243,180300,19.3,7212,8583,180300,19.3,7212,8583,284100,10550,hot
SHS50x3.2,50,50,3.2,4.8,3.2,4.62,192,588,294,294,212300,19,8491,10240,212300,19,8491,10240,338200,12370,hot
SHS50x6.3,50,50,6.3,9.4,6.3,8.31,184,1059,529,529,327600,17.6,13100,17010,327600,17.6,13100,17010,551900,18820,hot
SHS60x2.6,60,60,2.6,3.9,2.6,4.63,233,590,295,295,321600,23.4,10720,12630,321600,23.4,10720,12630,502500,15740,hot
SHS60x3.2,60,60,3.2,4.8,3.2,5.62,232,716,358,358,381600,23.1,12720,15160,381600,23.1,12720,15160,601900,18600,hot
SHS60x8,60,60,8,12,8,12.5,219,1595,798,798,697300,20.9,23240,30440,697300,20.9,23240,30440,1182000,33350,hot
SHS70x3.2,70,70,3.2,4.8,3.2,6.63,272,844,422,422,623100,27.2,17800,21040,623100,27.2,17800,21040,975800,26110,hot
SHS70x8,70,70,8,12,8,15,259,1915,958,958,1198000,25,34220,43770,1198000,25,34220,43770,1997000,49240,hot
SHS80x3.2,80,80,3.2,4.8,3.2,7.63,312,972,486,486,949500,31.3,23740,27880,949500,31.3,23740,27880,1479000,34900,hot
SHS150x14.2,150,150,14.2,21.3,14.2,58.9,563,7497,3749,3749,22620000,54.9,301500,376900,22620000,54.9,301500,376900,37070000,435700,hot
SHS160x14.2,160,160,14.2,21.3,14.2,63.3,603,8065,4033,4033,28090000,59,351100,435800,28090000,59,351100,435800,45790000,508000,hot
SHS180x14.2,180,180,14.2,21.3,14.2,72.2,683,9201,4601,4601,41540000,67.2,461600,566300,41540000,67.2,461600,566300,67110000,669500,hot
SHS200x14.2,200,200,14.2,21.3,14.2,81.1,763,10337,5169,5169,58720000,75.4,587200,714000,58720000,75.4,587200,714000,94170000,853700,hot
SHS220x14.2,220,220,14.2,21.3,14.2,90.1,843,11473,5737,5737,80070000,83.5,727900,878600,80070000,83.5,727900,878600,127700000,1060000,hot
SHS250x14.2,250,250,14.2,21.3,14.2,103.4,963,13177,6589,6589,120900000,95.8,967500,1158000,120900000,95.8,967500,1158000,191400000,1413000,hot
SHS260x14.2,260,260,14.2,21.3,14.2,107.9,1003,13745,6873,6873,137100000,99.9,1055000,1259000,137100000,99.9,1055000,1259000,216600000,1542000,hot
SHS300x14.2,300,300,14.2,21.3,14.2,125.7,1163,16017,8009,8009,216400000,116.2,1442000,1708000,216400000,116.2,1442000,1708000,339400000,2114000,hot
SHS350x14.2,350,350,14.2,21.3,14.2,148,1363,18857,9429,9429,352100000,136.6,2012000,2364000,352100000,136.6,2012000,2364000,548800000,2957000,hot
SHS400x14.2,400,400,14.2,21.3,14.2,170.3,1563,21697,10849,10849,535300000,157.1,2676000,3127000,535300000,157.1,2676000,3127000,830300000,3942000,hot
SHS400x20,400,400,20,30,20,235.3,1548,29971,14985,14985,715300000,154.5,3577000,4247000,715300000,154.5,3577000,4247000,1125000000,5237000,hot
